Hugo_Symbol,n
DNA2,14
DOCK8,14
DPP6,14
DSE,14
DYRK1A,14
EFCAB6,14
EGFLAM,14
EIF4G3,14
EMR2,14
ENPP2,14
FAM171B,14
FAM47A,14
FAM91A1,14
FCRL2,14
FKBP15,14
FLRT2,14
FSTL4,14
FSTL5,14
GABBR2,14
GPAM,14
GPATCH8,14
GPC5,14
GPR179,14
GPR64,14
GRIN3A,14
GRM6,14
GRM8,14
GUCY2F,14
HDAC1,14
HIST1H2BK,14
HOOK1,14
IGF2BP2,14
IKBKAP,14
IL1RAPL1,14
INPP5B,14
INSR,14
ITSN1,14
JAG1,14
JAK3,14
KCNA1,14
KCNA4,14
KCNB1,14
KCND2,14
KCNH7,14
KCNT1,14
KCNU1,14
KDM2A,14
KDM3B,14
KDM4C,14
KIAA0825,14
KIAA0922,14
KIAA1324L,14
KIAA1614,14
KIF21A,14
KIF4B,14
KPRP,14
LILRB1,14
LIMA1,14
LRCH2,14
LRRC37A3,14
MAGED1,14
MAML2,14
MAP3K15,14
MBTPS2,14
MCF2L2,14
MCM10,14
MED1,14
MEGF10,14
MEP1A,14
MIB1,14
MICAL3,14
MLPH,14
MMP16,14
MOV10L1,14
MPDZ,14
MROH5,14
MROH7-TTC4,14
MTM1,14
MTR,14
MTTP,14
MUSK,14
MYBPC3,14
MYCBPAP,14
MYO6,14
MYT1,14
NCKAP1,14
NCOR2,14
NEBL,14
NFKBIZ,14
NOX3,14
NUP214,14
OAS2,14
OTOA,14
OVCH1,14
PALM2AKAP2,14
PARP14,14
PAXBP1,14
PC,14
PCDH9,14
PCDHA10,14
PCDHA12,14
PCDHA13,14
PCDHA4,14
PCDHA6,14
PCDHA9,14
PCDHB5,14
PCDHGA7,14
PCF11,14
PCSK5,14
PDE4B,14
PDGFRA,14
PEAK1,14
PHACTR1,14
PHF2,14
PHLDB2,14
PIEZO1,14
PJA1,14
PLCG2,14
PLD5,14
POF1B,14
POLR3A,14
PRDM2,14
PRKCE,14
PRPF4B,14
PRPF8,14
PRTG,14
PRX,14
PSME4,14
PTCH1,14
PTCHD2,14
PTCHD3,14
PTGS2,14
PTPN14,14
PUM2,14
RAPGEF1,14
RFC1,14
RGS22,14
RGSL1,14
RHOT1,14
RNF19A,14
ROBO3,14
ROCK1,14
RREB1,14
RRP12,14
SCAPER,14
SEC16A,14
SEC24B,14
SEL1L3,14
SH3PXD2B,14
SHPRH,14
SHROOM4,14
SLC44A5,14
SLC4A10,14
SLC9A2,14
SLC9C1,14
SLC9C2,14
SLCO5A1,14
SLITRK3,14
SLX4,14
SMARCC2,14
SMYD3,14
SNTG1,14
SOGA1,14
SP100,14
SPAG9,14
SPG11,14
SSH1,14
ST6GALNAC1,14
STK10,14
STXBP5,14
TDRD5,14
TEX2,14
THBS1,14
TNS3,14
TRAPPC8,14
TRO,14
TRPM1,14
TTBK2,14
TUBGCP2,14
UBE4B,14
ULK4,14
URB1,14
USP53,14
VPS8,14
WAS,14
WDR33,14
WDR6,14
WDR7,14
XIRP1,14
XIST,14
XPC,14
XPOT,14
XRRA1,14
ZC3H13,14
ZDHHC17,14
ZEB2,14
ZFYVE26,14
ZKSCAN7,14
ZNF106,14
ZNF528,14
ZNF644,14
ZNF711,14
ZSWIM4,14
ZZEF1,14
ABCA10,13
ABCC10,13
ABCC3,13
ABCF2,13
ACAN,13
ACSBG1,13
ADAMTS3,13
ADCY7,13
AGO1,13
ALPK1,13
ANAPC1,13
ANAPC5,13
ANKRD50,13
ANO1,13
AOX1,13
AP3B1,13
APBA2,13
APP,13
ARHGAP24,13
ARHGAP36,13
ARHGEF10L,13
ARHGEF40,13
ASAP1,13
ATP10D,13
ATP2B4,13
ATP2C1,13
ATP2C2,13
ATXN2L,13
BCAN,13
BRD8,13
BRIP1,13
BTN3A1,13
BTN3A2,13
C12orf55,13
C6orf118,13
CACNA2D2,13
CARD6,13
CASK,13
CAST,13
CASZ1,13
CCDC147,13
CCDC60,13
CD22,13
CDKN1B,13
CELF2,13
CEP70,13
CEP95,13
CHD1,13
CHI3L1,13
CLASP2,13
CLCN5,13
